NED,Relation Linker,Class Identifier,Query Builder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
